09:23:10.936 [main] INFO  testCases.TC002_LoginTest - ...starting TC002_LoginTest... 
09:23:13.178 [main] INFO  testCases.TC002_LoginTest - ...finished TC002_LoginTest... 
09:23:21.004 [main] INFO  testCases.TC003_LoginDDT - ...starting TC003_LoginDDT... 
09:23:24.692 [main] INFO  testCases.TC003_LoginDDT - ...finished TC003_LoginDDT...
09:23:24.712 [main] INFO  testCases.TC003_LoginDDT - ...starting TC003_LoginDDT... 
09:23:37.827 [main] INFO  testCases.TC003_LoginDDT - ...finished TC003_LoginDDT...
09:23:37.836 [main] INFO  testCases.TC003_LoginDDT - ...starting TC003_LoginDDT... 
09:23:51.065 [main] INFO  testCases.TC003_LoginDDT - ...finished TC003_LoginDDT...
09:23:51.081 [main] INFO  testCases.TC003_LoginDDT - ...starting TC003_LoginDDT... 
09:24:05.317 [main] INFO  testCases.TC003_LoginDDT - ...finished TC003_LoginDDT...
09:24:05.325 [main] INFO  testCases.TC003_LoginDDT - ...starting TC003_LoginDDT... 
09:24:19.024 [main] INFO  testCases.TC003_LoginDDT - ...starting TC003_LoginDDT... 
